Date,Close,Open,High,Low,Volume,,,,,,,,,,,,
1/15/21,86.81,86.91,87.8,86.08,1342170,,,,,,,,,,,,
1/19/21,89.54,87.61,90.46,87.07,1734614,,,,,,,,,,,,
1/20/21,94.35,91.57,95.19,91.28,2490258,,,,,,,,,,,,
1/21/21,94.56,94.9,96.74,94.36,2063932,,,,,,,,,,,,
1/22/21,95.05,94.78,95.55,94.09,1272232,,,,,,,,,,,,
1/25/21,94.97,96.03,96.48,93.38,1927320,,,,,,,,,,,,
1/26/21,95.86,94.44,96.25,94.21,1313139,,,,,,,,,,,,
1/27/21,91.54,94.13,94.5,90.45,2748292,,,,,,,,,,,,
1/28/21,93.16,92.2,94.94,92.13,1773138,,,,,,,,,,,,
1/29/21,91.79,92.31,92.86,90.51,1612552,,,,,,,,,,,,
2/1/21,95.07,92.68,96.12,92.55,1602182,,,,,,,,,,,,
2/2/21,96.38,96.13,97.79,95.72,2273723,,,,,,,,,,,,
2/3/21,103.5,103.65,105.83,100.92,4118170,,,,,,,,,,,,
2/4/21,103.12,103.44,103.93,102.13,1852329,,,,,,,,,,,,
2/5/21,104.9,103.5,105.13,102.97,1535135,,,,,,,,,,,,
2/8/21,104.65,105.3,106.18,103.6,1242411,,,,,,,,,,,,
2/9/21,104.18,103.93,105.26,103.93,889850,,,,,,,,,,,,
2/10/21,104.77,104.71,105.42,103.15,1135464,,,,,,,,,,,,
2/11/21,104.79,104.98,105.1,103.87,945650,,,,,,,,,,,,
2/12/21,105.21,104.51,105.44,104.16,855865,,,,,,,,,,,,
2/16/21,106.1,105.22,107.63,105.22,1133838,,,,,,,,,,,,
2/17/21,106.42,105,106.68,104.95,1070941,,,,,,,,,,,,
2/18/21,105.86,105.52,106.64,105.19,1121855,,,,,,,,,,,,
2/19/21,105.06,105.96,106.53,104.87,1457612,,,,,,,,,,,,
2/22/21,103.24,103.35,104.57,103.11,1367533,,,,,,,,,,,,
2/23/21,103.54,101.25,104.1,100.1,1667377,,,,,,,,,,,,
2/24/21,104.76,102.09,105.04,101.91,1248349,,,,,,,,,,,,
2/25/21,101.57,103.37,104.74,101.06,1828432,,,,,,,,,,,,
2/26/21,101.84,102.53,103.55,100.8,2083801,,,,,,,,,,,,
3/1/21,104.08,102.83,104.33,102.31,1405115,,,,,,,,,,,,
3/2/21,103.79,103.81,105.22,103.56,1134595,,,,,,,,,,,,
3/3/21,101.34,103.36,104.43,100.5,1484181,,,,,,,,,,,,
3/4/21,102.45,101.17,104.46,101.01,2118006,,,,,,,,,,,,
3/5/21,105.43,103.66,105.91,102.32,2195218,,,,,,,,,,,,
3/8/21,101.21,105.06,106.44,101.08,1647429,,,,,,,,,,,,
3/9/21,102.64,103.5,103.9,102.39,1697306,,,,,,,,,,,,
3/10/21,102.75,103.59,103.75,101.67,1268592,,,,,,,,,,,,
3/11/21,105.74,103.7,106.29,103.62,1239080,,,,,,,,,,,,
3/12/21,103.1,104.25,104.51,102.38,1725794,,,,,,,,,,,,
3/15/21,103.32,103.12,103.35,102.18,1298325,,,,,,,,,,,,
3/16/21,104.63,103.95,106.18,103.5,1491564,,,,,,,,,,,,
3/17/21,104.55,103.8,105.49,102.7,1299016,,,,,,,,,,,,
3/18/21,101.81,103.05,103.78,101.68,1362430,,,,,,,,,,,,
3/19/21,102.16,102.1,102.66,100.88,2314893,,,,,,,,,,,,
3/22/21,101.93,102.09,102.9,101.3,1954816,,,,,,,,,,,,
3/23/21,102.65,102.59,103.62,101.96,1366997,,,,,,,,,,,,
3/24/21,102.25,103.27,103.91,102.08,1154029,,,,,,,,,,,,
3/25/21,102.22,102.24,102.94,100.54,1418907,,,,,,,,,,,,
3/26/21,101.78,101.94,102.55,100.7,1493800,,,,,,,,,,,,
3/29/21,102.8,101.39,102.92,100.78,1229777,,,,,,,,,,,,
3/30/21,102.78,102.88,103.54,102.2,1036774,,,,,,,,,,,,
3/31/21,103.43,102.96,104.67,102.84,1459930,,,,,,,,,,,,
4/1/21,106.89,104.9,107.15,104.84,1698978,,,,,,,,,,,,
4/5/21,111.28,107.65,111.87,107.58,2164875,,,,,,,,,,,,
4/6/21,111.24,111.13,111.88,110.74,1353036,,,,,,,,,,,,
4/7/21,112.48,111.31,112.75,111.27,1289861,,,,,,,,,,,,
4/8/21,113.27,113.9,114.2,112.88,1358259,,,,,,,,,,,,
4/9/21,114.29,112.84,114.45,112.69,1044365,,,,,,,,,,,,
4/12/21,112.74,113.31,113.77,111.92,1562746,,,,,,,,,,,,
4/13/21,113.36,113.07,113.86,112.8,1165804,,,,,,,,,,,,
4/14/21,112.74,113.76,113.9,112.46,1010967,,,,,,,,,,,,
4/15/21,114.83,113.85,115.33,113.3,1373612,,,,,,,,,,,,
4/16/21,114.89,115.15,115.32,114.22,1130090,,,,,,,,,,,,
4/19/21,115.12,114.6,115.92,114.39,1234445,,,,,,,,,,,,
4/20/21,114.68,115.39,115.48,113.59,1088749,,,,,,,,,,,,
4/21/21,114.66,114.26,114.77,112.93,1196731,,,,,,,,,,,,
4/22/21,113.4,114.66,115.19,112.82,1054808,,,,,,,,,,,,
4/23/21,115.77,114.17,116.29,113.91,1435162,,,,,,,,,,,,
4/26/21,116.34,116,117.06,115.69,1041650,,,,,,,,,,,,
4/27/21,115.36,116.8,116.87,115.21,1598583,,,,,,,,,,,,
4/28/21,119,120.36,122.62,118.74,2986439,,,,,,,,,,,,
4/29/21,121.49,120.52,121.83,120.11,1977677,,,,,,,,,,,,
4/30/21,120.51,120.22,121.36,120.11,1957130,,,,,,,,,,,,
5/3/21,119.76,120.14,120.99,119.23,1689389,,,,,,,,,,,,
5/4/21,117.71,118.49,118.96,115.59,1756015,,,,,,,,,,,,
5/5/21,117.84,118.42,119.11,117.57,1090275,,,,,,,,,,,,
5/6/21,119.07,117.53,119.14,117.12,1030859,,,,,,,,,,,,
5/7/21,119.93,120,120.82,119.5,1163892,,,,,,,,,,,,
5/10/21,117.08,118.74,118.9,116.74,1300271,,,,,,,,,,,,
5/11/21,115.44,114.59,116.1,114.15,1605548,,,,,,,,,,,,
5/12/21,111.95,113.09,114.27,111.5,1746664,,,,,,,,,,,,
5/13/21,113.1,113.05,113.83,112.14,1333508,,,,,,,,,,,,
5/14/21,115.81,114.59,116.06,114.17,1328169,,,,,,,,,,,,
5/17/21,116.07,115.47,116.17,114.75,992416,,,,,,,,,,,,
5/18/21,115.17,116.85,117.16,115.16,865119,,,,,,,,,,,,
5/19/21,115.44,113.22,115.84,113.18,967544,,,,,,,,,,,,
5/20/21,117.8,116.4,118.02,116.05,1191593,,,,,,,,,,,,
5/21/21,117.26,118.3,118.45,117.12,1141632,,,,,,,,,,,,
5/24/21,120.33,118.35,120.92,118.01,1062189,,,,,,,,,,,,
5/25/21,120.45,121,121.64,120.15,941928,,,,,,,,,,,,
